z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,engine_temp,vibration,oil_pressure,rpm,battery_voltage,reconstruction_error,is_anomalous,diagnosis,diagnosis_text,severity
0.75121725,0.012669317,-0.98653376,-3.2925181,-0.7676612,-0.3597994,0.20479229,0.8860358,-0.8973182,-0.28455353,0.9058739,2.9653726,1.1894151,-0.9305263,2.006969,1.0047644,-0.4269308,1.011501,1.5289165,1.2945071,-0.78117836,0.027220525,-0.09043503,-0.7001975,-0.6998117,-1.4019349,-0.8670152,2.6500053,0.2223584,3.2360585,3.18064,0.26354328,85.07045525436112,10.334045976352575,20.805234729218657,1903.9714252417164,14.01402914133304,0.0010944158,0,bearing_fault,Bearing fault: excessive vibration or vibration with RPM instability,normal
0.2094176,0.07076058,-0.8771432,-2.9660254,1.5228398,0.06564798,1.6511964,0.1343477,-0.19084449,-0.15081806,0.43955556,-0.92512244,-0.14110887,-2.6036904,-0.34951323,0.5752549,1.0902469,1.2453108,1.6121169,0.33247742,-1.0449526,-0.87306064,-0.4429062,-3.8751261,-1.0633651,-0.6224442,0.6988805,3.4441411,-1.8919514,0.6167613,0.12379174,0.9293012,107.3609000770416,3.084819243487112,71.74812462258478,723.9533821327099,12.690186624171758,0.00038004958,0,normal,Normal operation: all sensor values within safe operating ranges,normal
-0.10946922,-0.14423916,-0.55604935,-1.5299455,0.42608097,0.53166115,0.69366205,0.5759335,0.069778964,0.53163236,0.34821683,0.2634227,-0.35428417,-1.2329199,-0.2460469,0.0997891,0.36489472,0.6867502,0.33846226,0.17255643,-0.3794303,-0.9537186,0.20237762,-1.3854097,-0.06797342,-0.42772877,0.3405739,1.4953506,-0.5990544,0.98867786,1.0507866,0.563587,99.46985659795918,4.798998890465038,73.16698291537729,1316.304638170653,13.4809715105041,0.0001883957,0,normal,Normal operation: all sensor values within safe operating ranges,normal
-0.42139935,-0.65240264,-0.95961934,-1.2625009,-0.7979891,0.91655797,0.9576557,1.5457634,0.88229203,1.1984574,1.2637879,0.74840415,-1.0087776,-1.2126278,-0.30495268,0.62675434,0.2753648,0.10552041,-0.34678203,0.81586474,-0.24209382,-2.175419,0.029047603,-1.0756738,0.40099055,-0.11130986,-0.3535249,2.1259937,-0.32776195,1.972836,2.9998035,0.23099357,94.25163224052338,1.989988494788127,83.17612678366109,1885.7984887169307,14.140472846288318,0.0003457335,0,normal,Normal operation: all sensor values within safe operating ranges,normal
-1.8367534,-0.38531435,-1.4639215,-1.3979175,-0.9987819,0.75491565,1.7666517,2.3068192,-0.16535929,-0.24339552,2.5740967,0.1326219,0.10261688,-0.3770841,0.37111259,1.2343588,-1.2349597,1.5264244,0.69794923,1.363239,-0.41010636,-0.46511614,0.06431785,-1.8736092,0.25455558,0.15220223,0.17937183,1.7862741,-0.51208633,1.2934932,1.9403872,0.22989374,76.52064084166298,6.532016151860326,94.69315335993277,1865.680612257085,12.316851204619066,0.00042797066,0,bearing_fault,Bearing fault: excessive vibration or vibration with RPM instability,normal
2.1699677,-0.35120374,0.53244275,-2.1714497,-1.4493345,-2.2114584,-0.33752468,0.12702793,-0.09596638,-0.6838017,0.50121653,0.31719953,0.54649854,-1.3593231,0.052801263,0.45433605,1.9423803,0.0055026487,1.4736922,1.4618922,-1.6608759,-0.31336677,-1.9317368,-3.2106361,-2.4406638,0.18834159,0.27801743,4.344618,-1.1606888,2.0246534,1.5518341,0.9184879,76.78017117622542,1.6833874881674402,21.903677634201355,818.5358183103307,14.15193031523396,0.0015638856,1,unknown_anomaly,Unrecognized anomaly pattern detected by autoencoder,medium
0.80225146,-0.12069968,-0.18059036,-1.6200793,-1.348583,-2.227956,0.7650542,0.28953052,-0.11636937,-1.4403886,1.3874952,-0.53902733,0.8381743,-0.48909885,0.66701865,1.3114245,0.18943132,-0.020973902,2.1026554,1.8687875,-1.7954861,0.15768695,-1.4146601,-2.905329,-1.9878926,0.26197964,-0.092043005,3.2809308,-1.3540078,0.74324083,0.5840644,-0.19392723,72.74030556400243,1.7665756370016197,32.56013823909548,1114.0884803189203,12.38130378936437,0.0006710313,0,normal,Normal operation: all sensor values within safe operating ranges,normal
-1.595576,0.23304583,-1.9614252,-2.8109605,1.3026444,1.1226296,2.4087088,1.0986528,-0.05148395,0.08476425,1.7510833,-0.5280212,-0.18635169,-2.0768206,0.23104882,1.4596891,-0.83786744,1.8286495,1.4116747,0.59692025,-0.8115044,-1.0793511,0.5814853,-2.6524415,0.30317324,-0.78709924,0.22595242,2.3330543,-1.4908835,0.6423124,0.8107329,0.19778633,104.87663587061162,5.271368130599527,91.30366615079708,1467.2083171585678,11.8703802086947,0.00038087292,0,normal,Normal operation: all sensor values within safe operating ranges,normal
0.27434778,0.058596432,-0.8699709,-2.3420234,0.4133314,-1.1828625,1.6970235,0.054757826,0.07859674,-1.0013235,1.0460258,-1.4755924,0.22308911,-1.8308241,0.045934703,1.2832282,0.5192686,0.470208,2.1489224,1.1008672,-1.6554042,-0.3894602,-1.0366777,-4.0099,-1.5320777,-0.18592905,0.25942305,3.6210968,-2.0576296,0.13920139,-0.26301327,0.1934751,94.00951761399902,0.6550974698176388,56.84365507996866,823.634916622049,11.897313349110934,0.00016179119,0,normal,Normal operation: all sensor values within safe operating ranges,normal
0.024497882,-0.52034074,-1.1403414,-1.2534623,-0.8128666,0.28878644,1.129213,1.1062266,1.073699,1.0185903,1.1887887,0.57675874,-0.9455879,-1.3526748,0.21691678,1.1640193,0.20412841,-0.75859624,0.14230686,0.7315531,-0.8255662,-2.2660944,-0.20783214,-0.8243151,0.40638393,-0.40257058,-0.90960306,1.9981915,-0.45769727,1.6732621,2.6320412,-0.31172234,97.49242264508382,-0.1693108972608493,64.90088836556862,1955.0783185128132,13.776012059177562,9.9627374e-05,0,normal,Normal operation: all sensor values within safe operating ranges,normal
